Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64359967dafba60456a61eef,6166208d9c58ef96862ffd1e,APPROVED,2023-04-11T17:31:25.952000Z,2023-04-11T18:22:57.408000Z,2023-04-11T18:22:58.309000,2023-04-11T18:22:58.217788Z,3092,C14JUVP6,313,"English, Hindi, Nepali",27,Female,Asian,Nepal,United States,Nepal,Nepali,DATA_EXPIRED,DATA_EXPIRED
643599ab4334980a66599556,62b2c25fa2e87e7ed2da2b87,APPROVED,2023-04-11T17:32:35.429000Z,2023-04-11T18:12:03.877000Z,2023-04-11T18:12:07.676000,2023-04-11T18:12:07.583341Z,2369,C14JUVP6,1332,English,31,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
643599c798c95ed6c510b0fe,63d3fbf01bebc2f1463027d4,APPROVED,2023-04-11T17:33:02.074000Z,2023-04-11T18:05:03.988000Z,2023-04-11T18:05:04.690000,2023-04-11T18:05:04.597285Z,1922,C14JUVP6,273,"English, Hindi",23,Male,Asian,India,United States,India,Hindi,No,Full-Time
64359a0b3cc50e92a99cc098,61020458e6339c65bb7b7798,APPROVED,2023-04-11T17:34:09.443000Z,2023-04-11T18:11:34.444000Z,2023-04-11T18:11:36.606000,2023-04-11T18:11:36.501781Z,2246,C14JUVP6,731,English,28,Male,Asian,United States,United States,United States,English,No,Full-Time
64359a90461fbff55f2df5af,63d38071444084aef534a07e,REJECTED,2023-04-11T17:36:22.640000Z,2023-04-11T17:41:58.013000Z,2023-04-11T17:42:47.498000Z,2023-04-11T17:41:58.621000Z,336,8EC4E304,26,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64359abf7362620a4f3fc220,5f2016b023978b04f9679bec,APPROVED,2023-04-11T17:37:11.418000Z,2023-04-11T18:27:54.560000Z,2023-04-11T18:27:55.278000,2023-04-11T18:27:55.185794Z,3044,C14JUVP6,790,English,26,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
64359b0e11982f40b5180700,63d3ea0b0f01a1c783c10f16,APPROVED,2023-04-11T17:42:36.843000Z,2023-04-11T18:53:30.938000Z,2023-04-11T18:53:31.916000,2023-04-11T18:53:31.810043Z,4255,C14JUVP6,279,English,66,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
64359b7ed9484cd2560bcc45,60d018cc0f3faeaec2f7b7e5,APPROVED,2023-04-11T17:40:34.732000Z,2023-04-11T19:09:25.490000Z,2023-04-11T19:09:38.318000Z,2023-04-11T19:09:48.437929Z,5331,C14JUVP6,818,English,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64359b88b16ba9c867f847e0,63edf51bc1e19e32b9c72dfa,APPROVED,2023-04-11T17:40:36.768000Z,2023-04-11T18:38:16.915000Z,2023-04-11T18:38:19.300000,2023-04-11T18:38:19.201295Z,3461,C14JUVP6,234,"Bengali, Hindi, English",34,Male,Asian,Bangladesh,United States,Bangladesh,Bengali,Yes,Part-Time
64359ba1590147d1fc2f3597,6110b74b42270b61d9b11ea3,APPROVED,2023-04-11T17:41:05.633000Z,2023-04-11T18:20:08.740000Z,2023-04-11T18:20:10.139000,2023-04-11T18:20:10.039279Z,2344,C14JUVP6,122,English,21,Female,White,United States,United States,Germany,English,Yes,Due to start a new job within the next month
64359bc3ee70a7bb1f1d5d58,6114ba31072fc0bcc226b89d,APPROVED,2023-04-11T17:41:35.554000Z,2023-04-11T18:31:51.499000Z,2023-04-11T18:31:52.253000,2023-04-11T18:31:52.157021Z,3016,C14JUVP6,486,English,33,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64359c3e80f9ad4e3aa78aac,60e2577f8c52db9d1fb5ffac,APPROVED,2023-04-11T17:48:34.566000Z,2023-04-11T19:07:49.220000Z,2023-04-11T19:07:50.082000,2023-04-11T19:07:49.968969Z,4755,C14JUVP6,775,"English, French",49,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64359d0757eb63400a71cc5c,5c3fd0d4c2d0b700017d02cd,APPROVED,2023-04-11T17:47:53.618000Z,2023-04-11T18:21:40.441000Z,2023-04-11T18:21:41.126000,2023-04-11T18:21:41.035212Z,2027,C14JUVP6,1124,English,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
64359d477362620a4f3fc25e,6406d015ad2a96ceef1f86cc,APPROVED,2023-04-11T17:48:10.973000Z,2023-04-11T19:06:02.184000Z,2023-04-11T19:06:03.334000,2023-04-11T19:06:03.212851Z,4672,C14JUVP6,42,English,72,Male,White,United States,United States,United States,English,No,Full-Time
64359d52ffcea1f9e9c6a86c,611291090e626fdfde536f38,APPROVED,2023-04-11T17:48:05.956000Z,2023-04-11T18:32:40.184000Z,2023-04-11T18:32:40.912000,2023-04-11T18:32:40.813388Z,2675,C14JUVP6,1342,English,39,Male,Black,Nigeria,United States,United States,English,No,Full-Time
64359d5c1dbbe3a3c9266d9b,5dd5db1ded7ea4574c7bc996,APPROVED,2023-04-11T17:48:24.123000Z,2023-04-11T19:39:38.109000Z,2023-04-11T19:39:39.737000,2023-04-11T19:39:39.624308Z,6674,C14JUVP6,1580,English,28,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64359d98ccf172d3760240aa,5e4b550cbc830a0625f5ceff,APPROVED,2023-04-11T17:49:16.135000Z,2023-04-11T18:29:12.184000Z,2023-04-11T18:29:13.114000,2023-04-11T18:29:13.010929Z,2397,C14JUVP6,638,English,28,Male,Black,United States,United States,United States,English,No,Full-Time
64359df7c9e9a7b8695a7b44,5da6139c002c29001335b5a2,APPROVED,2023-04-11T17:50:51.202000Z,2023-04-11T18:33:28.953000Z,2023-04-11T18:33:31.666000,2023-04-11T18:33:31.740095Z,2558,C14JUVP6,2079,English,29,Male,White,United States,United States,Germany,English,No,Full-Time
64359e10ae9bf4ee51c6a79b,5da25f04c8c2de00139ed46b,APPROVED,2023-04-11T17:51:17.187000Z,2023-04-11T18:41:13.961000Z,2023-04-11T18:41:14.698000,2023-04-11T18:41:14.611539Z,2997,C14JUVP6,1070,English,42,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64359e5f06456f5391b7ed16,64150c3dc300f214779f4579,APPROVED,2023-04-11T17:52:36.690000Z,2023-04-11T18:40:16.467000Z,2023-04-11T18:40:20.419000,2023-04-11T18:40:20.323018Z,2860,C14JUVP6,46,"English, Spanish",23,Male,Other,El Salvador,United States,El Salvador,Spanish,No,Part-Time
64359e9aa40d9dc43eb7ed3b,63c48023d6116ee42fa17bf8,APPROVED,2023-04-11T17:53:41.886000Z,2023-04-11T18:28:46.608000Z,2023-04-11T18:28:50.422000,2023-04-11T18:28:50.323283Z,2105,C14JUVP6,244,English,33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64359eba38f6450b5a763649,6294ea877522945ad8df1578,APPROVED,2023-04-11T17:54:08.636000Z,2023-04-11T18:39:13.513000Z,2023-04-11T18:39:14.907000,2023-04-11T18:39:14.796334Z,2705,C14JUVP6,1040,"English, Swedish",45,Male,White,United States,United States,United States,English,No,Full-Time
64359eca3ddf00e1328080af,575f6c823fc3ac000611dffa,APPROVED,2023-04-11T17:54:22.415000Z,2023-04-11T18:28:04.923000Z,2023-04-11T18:28:05.929000,2023-04-11T18:28:05.835911Z,2023,C14JUVP6,394,English,25,Female,Asian,United States,United States,Vietnam,Vietnamese,No,Unemployed (and job seeking)
64359eca7e328cd657515dd3,568d286ab5a2c2000cb6a91c,APPROVED,2023-04-11T17:54:40.942000Z,2023-04-11T18:33:50.489000Z,2023-04-11T18:33:52.067000,2023-04-11T18:33:51.977875Z,2350,C14JUVP6,715,English,34,Female,White,United States,United States,United States,English,No,Part-Time
64359ed83f4e035ad11dedb7,5f107aa051372032695c8e2f,APPROVED,2023-04-11T17:54:36.436000Z,2023-04-11T18:47:50.902000Z,2023-04-11T18:47:51.618000,2023-04-11T18:47:51.519530Z,3195,C14JUVP6,533,English,22,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64359ee8590147d1fc2f3601,6297567582d2ed2d88ae0450,APPROVED,2023-04-11T17:55:01.961000Z,2023-04-11T18:28:11.120000Z,2023-04-11T18:28:11.855000,2023-04-11T18:28:11.746620Z,1990,C14JUVP6,1194,English,34,Male,White,United States,United States,United States,English,No,Full-Time
64359f03fa0fd373d2a21ec6,606b6705399a272af8238dad,APPROVED,2023-04-11T17:55:18.549000Z,2023-04-11T18:27:05.564000Z,2023-04-11T18:27:07.550000,2023-04-11T18:27:07.455160Z,1908,C14JUVP6,989,"English, Swedish",53,Female,White,Sweden,United States,Sweden,Swedish,No,DATA_EXPIRED
64359f55c72ed38f6ca4911e,5b72db405f561b0001342eff,APPROVED,2023-04-11T17:59:49.513000Z,2023-04-11T18:47:02.007000Z,2023-04-11T18:47:02.915000,2023-04-11T18:47:02.815998Z,2833,C14JUVP6,2928,English,44,Male,White,United States,United States,United States,English,No,Full-Time
